fault_id,fault_description,report_date,is_treatmented,treatment_date,fault_level,reporter_employee_id,repaired_employee_id,facility_id
1,What commercial PM. Provide before four miss.,2022-02-25,1,2022-04-19,5,899136,893345,185
2,Ready treat little cultural.,2022-06-04,1,2022-06-06,1,905842,905472,37
3,Threat sit main. Rest standard ask blue kind.,2021-09-19,1,2021-09-20,5,890562,892707,843
4,Reach lead address have daughter.,2020-10-06,0,,4,895252,,792
5,How might relationship assume.,2022-02-18,1,2022-04-11,2,895264,900411,677
6,Mr represent remain he court.,2021-09-10,0,,5,894874,,96
7,Talk shake record hard.,2021-07-27,1,2022-02-14,1,904644,901048,583
8,Little court moment structure social.,2021-10-20,1,2022-02-13,4,889219,894836,658
9,Set matter represent personal religious.,2021-03-18,1,2022-01-06,4,902021,893087,677
10,Matter federal court those decade.,2022-04-02,0,,4,890050,,259
11,Food down where herself audience produce price.,2022-05-31,0,,2,898814,,526
12,Drive enjoy down. Fight rate art speech cause.,2021-12-11,0,,2,901000,,168
13,Agree common suggest on everything three reality.,2021-08-12,1,2021-11-22,2,906464,896304,942
14,Admit next control reflect.,2021-03-03,1,2022-02-16,2,890216,905557,701
15,All enter might quite relationship.,2021-07-22,0,,4,908068,,163
16,Foot decide wrong. Three exactly cold business.,2020-11-22,1,2021-09-22,3,889500,892663,219
17,Fly tough final. Response under with seven.,2022-01-10,0,,4,892594,,583
18,Realize choose network card former speech begin.,2020-12-19,1,2021-04-09,2,891969,896050,975
19,Civil develop time allow spring.,2022-01-17,0,,3,896658,,526
20,At item situation all phone activity.,2021-08-03,1,2021-10-22,3,898279,891415,367
21,Lawyer two husband bad young range Republican.,2021-12-08,1,2021-12-11,4,889430,897822,5
22,Look then treat politics share good seat.,2021-12-02,1,2022-04-15,1,906280,908261,312
23,Budget stand thus.,2021-05-16,1,2021-11-08,3,894017,897559,632
24,Should method value tell.,2020-07-11,0,,2,897548,,988
25,One nothing race single.,2021-09-04,1,2021-10-13,4,907211,896347,784
26,Pattern two up kind local budget moment.,2021-12-09,1,2022-01-07,4,899853,889758,795
27,Four word cell theory.,2021-10-01,0,,4,902333,,578
28,Community weight air project item hour theory.,2021-11-11,0,,3,906424,,731
29,Pay require east.,2021-02-11,0,,2,908270,,17
30,Sister accept skill successful western floor.,2022-01-03,1,2022-01-31,3,908390,897602,133
31,Coach police less anything name.,2021-09-01,0,,5,889368,,705
32,Agent board agreement control whom serve glass.,2020-06-12,0,,4,900865,,634
33,Worry hot close wonder.,2020-11-18,1,2021-12-05,4,905643,908140,670
34,Once bed great much.,2020-08-23,0,,4,894043,,751
35,These leader sometimes likely.,2022-01-09,1,2022-05-08,1,893339,893753,846
36,Trouble call well source.,2020-10-30,1,2021-09-07,4,905967,901881,405
37,Vote age money young expert herself recently.,2020-12-03,1,2021-02-16,3,907191,904274,635
38,Perform mother measure vote who word.,2021-07-02,1,2022-04-06,2,903566,906358,591
39,Station concern public institution.,2022-02-15,1,2022-05-24,3,894572,905215,183
40,Education process prevent bring fill future them.,2022-01-30,0,,4,889440,,896
41,Establish whether bar approach two ever.,2021-01-01,0,,2,897116,,401
42,Picture hundred far also exist.,2022-05-15,0,,1,907707,,429
43,Often building bad action.,2020-08-23,0,,1,899482,,136
44,Future Mrs learn require.,2020-06-23,1,2021-02-24,3,897027,889120,677
45,Other dark radio often although large executive.,2021-09-20,1,2022-03-28,4,905514,894541,510
46,Player to media set market whether heart.,2020-10-13,1,2020-11-29,1,894399,903095,280
47,Develop contain nothing return.,2022-03-03,0,,3,890635,,214
48,Dog decide candidate will population.,2020-10-21,0,,3,890297,,61
49,Concern drug between thousand grow.,2021-06-08,1,2022-05-17,4,891219,889502,379
50,Quickly audience power at. Happen image kid rate.,2020-11-07,0,,1,901718,,620
51,Available skin standard idea Republican.,2022-02-26,0,,2,904881,,629
52,Wife mind doctor box raise fact.,2021-10-31,1,2022-04-12,4,898232,889254,623
53,Real thousand road window later above.,2020-09-13,0,,5,898323,,776
54,Space market chance enjoy.,2020-07-25,1,2021-04-03,2,907877,893406,607
55,Major employee business game. With church forget.,2020-07-22,1,2020-12-26,1,908823,908059,635
56,Thing according page instead.,2021-02-24,0,,1,903294,,713
57,Sister writer bit bit the social.,2022-04-22,1,2022-05-19,1,905845,897518,843
58,Themselves model according so player.,2021-09-25,0,,3,890407,,238
59,Price behind answer.,2021-07-13,0,,4,905266,,27
60,Deep ground increase on necessary among.,2021-08-10,1,2022-05-02,5,897963,889528,587
61,President yeah level impact authority me.,2021-09-05,1,2021-11-10,2,897141,907641,529
62,Smile bill serious. Modern yet onto dream.,2020-10-12,1,2021-10-02,2,892530,907059,699
63,Hair while low so. South one employee.,2020-07-13,1,2021-12-16,4,908659,900907,545
64,Result paper add wish and agree Mr.,2020-09-27,1,2021-07-18,1,903302,906848,659
65,Beyond him popular base wrong approach sort.,2022-03-03,1,2022-03-22,5,900890,905509,833
66,Impact right service peace might age.,2020-11-28,1,2021-11-01,1,891177,905988,447
67,Treat reveal his happy central try decide member.,2021-12-11,1,2022-05-21,1,900607,891613,673
68,Among option upon road family final.,2021-08-21,1,2021-10-19,4,897981,899138,936
69,Why song happy. Down must officer.,2020-11-09,0,,2,906923,,156
70,Fire skill six ten reduce benefit.,2022-01-28,0,,2,889436,,803
71,Woman drug special officer put.,2021-12-11,0,,4,907503,,461
72,Create reason foot perhaps environment.,2022-05-07,0,,4,904378,,685
73,Kid partner girl will together step.,2021-01-18,0,,1,902852,,447
74,Board southern better day media.,2020-08-01,0,,3,889237,,645
75,First stop example conference green no.,2021-10-19,0,,2,895216,,284
76,Fact tax middle only. Meet itself radio who.,2021-03-20,0,,3,901278,,303
77,Draw available finish sense.,2022-02-21,1,2022-04-04,1,889120,905134,636
78,Report again four however. Spend special size.,2021-11-05,1,2022-03-22,5,905845,900224,974
79,Than perform year rate perform year leader.,2021-11-08,0,,1,902003,,77
80,Yes summer short commercial write.,2021-08-07,1,2022-05-02,2,905499,897770,426
81,Involve decide every stuff.,2020-09-22,0,,5,895922,,287
82,Arm still trade card. Cost news amount then.,2020-06-25,1,2021-02-18,2,899612,906534,892
83,You long hospital serve.,2021-03-31,0,,3,900117,,215
84,Home build sell music season.,2020-07-20,0,,1,895497,,829
85,Help add street kind administration.,2020-07-29,0,,3,897374,,335
86,End into through home hear husband.,2020-12-19,1,2021-08-06,3,894426,891919,487
87,Believe third what trouble different.,2021-10-12,0,,3,902234,,900
88,Reflect first land affect often rich animal.,2021-07-21,1,2022-05-03,1,890727,891816,727
89,Military alone investment concern.,2022-01-06,1,2022-05-10,1,905233,908082,397
90,Physical eight huge operation.,2020-09-05,0,,4,894083,,917
91,Result administration wind two too program.,2021-02-01,1,2022-06-03,2,898913,901095,720
92,Pressure number factor effort.,2022-02-17,0,,1,891879,,159
93,Nor though goal church put north rest most.,2021-10-13,1,2022-01-30,4,890129,891417,124
94,Note moment always employee.,2021-01-19,0,,2,906743,,378
95,Travel parent paper traditional.,2021-05-24,0,,2,904399,,530
96,Get stuff investment wait.,2022-03-22,1,2022-03-26,4,908093,906709,554
97,Ahead trial final nearly quality surface affect.,2020-11-26,1,2021-04-06,2,898041,889237,580
98,Doctor fall on authority smile toward.,2021-02-25,1,2022-02-16,1,891368,905336,573
99,Back provide ability weight marriage late window.,2021-11-17,0,,3,896503,,462
100,Garden middle new any group start.,2022-02-06,0,,4,897382,,5
101,Leg use determine throw.,2020-08-27,0,,5,901668,,963
102,Interview head sort style maintain feel brother.,2021-09-11,0,,2,893310,,138
103,Yes life operation no couple rise avoid.,2021-05-30,0,,2,889629,,340
104,Edge dog learn describe become food.,2021-08-21,0,,4,901944,,608
105,Ready value future production.,2022-04-12,1,2022-05-03,3,894349,905508,412
106,Bar cover create prove attack he crime.,2022-03-27,1,2022-05-08,3,890704,892762,640
107,Physical professor conference whether thank.,2020-06-13,1,2020-07-06,3,896319,905722,588
